date,outflow,inflow
2016-07-01,0.0703,0.1181
2016-07-02,0.066,0.1121
2016-07-03,0.0621,0.1079
2016-07-04,0.0599,0.1115
2016-07-05,0.0574,0.1108
2016-07-06,0.0555,0.1056
2016-07-07,0.0555,0.0973
2016-07-08,0.0538,0.09
2016-07-09,0.0535,0.0885
2016-07-10,0.0521,0.0975
2016-07-11,0.0506,0.0969
2016-07-12,0.0482,0.0946
2016-07-13,0.046,0.101
2016-07-14,0.0436,0.1081
2016-07-15,0.0414,0.114
2016-07-16,0.0397,0.1175
2016-07-17,0.0377,0.109
2016-07-18,0.036,0.1033
2016-07-19,0.0346,0.0994
2016-07-20,0.0331,0.1046
2016-07-21,0.0324,0.119
2016-07-22,0.0321,0.126
2016-07-23,0.0375,0.1146
2016-07-24,0.0375,0.1042
2016-07-25,0.0338,0.0958
2016-07-26,0.0319,0.0892
2016-07-27,0.0314,0.0829
2016-07-28,0.0319,0.0773
2016-07-29,0.0324,0.0721
2016-07-30,0.0326,0.0677
2016-07-31,0.0336,0.0635
